group,sentence,true_label_name,lr_pred_name,phi3_pred_name,winner,lr_correct,phi3_correct,dim_negation,dim_hedging,dim_domain_specificity,dim_original,notes
divergence,The rebuilds are designed to improve the machines ' performance and product quality .,positive,positive,neutral,LR,True,False,0,0,0,0,
divergence,Finnish component supplier Componenta Corporation OMX Helsinki : CTH1V said on Monday 16 June that it is changing its pricing cycle due to the increase of raw material prices .,neutral,positive,neutral,Phi-3,False,True,0,0,0,0,
divergence,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",neutral,positive,neutral,Phi-3,False,True,0,0,0,0,
divergence,"After the takeover , Cramo will become the second largest rental services provider in the Latvian market .",positive,positive,neutral,LR,True,False,0,0,0,1,
divergence,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,neutral,positive,neutral,Phi-3,False,True,0,0,0,0,
divergence,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",positive,positive,neutral,LR,True,False,0,0,0,0,
divergence,Orders received grew by 55 % year-on-year to EUR732m .,positive,positive,neutral,LR,True,False,0,0,0,0,
divergence,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,positive,positive,negative,LR,True,False,0,0,0,0,
divergence,"In addition to the demand in Finland , the export of lining stone products also increased .",positive,positive,neutral,LR,True,False,0,0,0,0,
divergence,"In the first quarter of 2008 , Sacanfil 's net sales totalled EUR 50.0 mn and its operating profit EUR 4.7 mn .",neutral,negative,neutral,Phi-3,False,True,0,0,0,0,
divergence,Finnish food company Raisio Oyj HEL : RAIVV said on Friday it has wrapped up the divestment of its margarine operations to US sector player Bunge Ltd NYSE : BG for EUR80m USD119 .2 m .,neutral,positive,neutral,Phi-3,False,True,0,0,0,0,
divergence,"`` Overall , we 're pleased with the startup curve ... and we 're pleased with the quality of the paper , '' Stora spokeswoman Patricia Dietz said Tuesday .",positive,neutral,positive,Phi-3,False,True,0,0,0,0,
divergence,Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,neutral,positive,neutral,Phi-3,False,True,0,1,0,1,
divergence,The ISO certification demonstrates that we are moving forward in our quality commitments to our customers . ',positive,positive,neutral,LR,True,False,0,0,0,0,
divergence,`` Directors and shareholders alike should ask why these practices were allowed to continue . '',neutral,neutral,negative,LR,True,False,0,1,0,0,
divergence,The new units should become one of the largest ones within the company .,neutral,neutral,positive,LR,True,False,0,1,0,0,
divergence,"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",positive,positive,neutral,LR,True,False,0,0,0,1,
divergence,"For Q2 2010 , consolidated earnings before tax totaled EUR4 .5 m , compared to EUR3 .9 m , and net profit was EUR3 .2 m , compared to EUR2 .9 m in the previous year .",positive,negative,neutral,Neither,False,False,0,0,0,0,
divergence,Operating profit totaled EUR 17.7 mn compared to EUR 17.6 mn in the corresponding period in 2007 .,positive,negative,neutral,Neither,False,False,0,0,0,0,
divergence,"HELSINKI Thomson Financial - Shares closed little changed , with Cargotec and Huhtamaki dropping sharply on disappointing second-quarter reports .",negative,neutral,negative,Phi-3,False,True,0,0,0,0,
